sprint_resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,Time_sprints_res,milliseconds,fastestLap,fastestLapTime,statusId,points,laps
1,1061,830,9,33,2,1,1,1,25:38.4,1538426,14,01:30.0,1,3,17
2,1061,1,131,44,1,2,2,2,1.43,1539856,17,01:29.9,1,2,17
3,1061,822,131,77,3,3,3,3,7.502,1545928,17,01:30.0,1,1,17
4,1061,844,6,16,4,4,4,4,11.278,1549704,16,01:30.2,1,0,17
5,1061,846,1,4,6,5,5,5,24.111,1562537,16,01:30.6,1,0,17
6,1061,817,1,3,7,6,6,6,30.959,1569385,17,01:30.6,1,0,17
7,1061,4,214,14,11,7,7,7,43.527,1581953,17,01:31.8,1,0,17
8,1061,20,117,5,10,8,8,8,44.439,1582865,17,01:31.7,1,0,17
9,1061,847,3,63,8,9,9,9,46.652,1585078,17,01:32.2,1,0,17
10,1061,839,214,31,13,10,10,10,47.395,1585821,16,01:32.2,1,0,17
11,1061,832,6,55,9,11,11,11,47.798,1586224,10,01:32.0,1,0,17
12,1061,842,213,10,12,12,12,12,48.763,1587189,17,01:32.1,1,0,17
13,1061,8,51,7,17,13,13,13,50.677,1589103,12,01:32.1,1,0,17
14,1061,840,117,18,15,14,14,14,52.179,1590605,12,01:32.2,1,0,17
15,1061,841,51,99,14,15,15,15,53.225,1591651,14,01:32.5,1,0,17
16,1061,852,213,22,16,16,16,16,53.567,1591993,14,01:32.3,1,0,17
17,1061,849,3,6,18,17,17,17,55.162,1593588,17,01:32.1,1,0,17
18,1061,854,210,47,19,18,18,18,+1:08.213,1606639,15,01:32.6,1,0,17
19,1061,853,210,9,20,19,19,19,+1:17.648,1616074,3,01:33.5,1,0,17
20,1061,815,9,11,5,,R,20,,,6,01:31.5,76,0,16
21,1065,822,131,77,1,1,1,1,27:54.1,1674078,9,01:23.5,1,3,18
22,1065,830,9,33,3,2,2,2,2.325,1676403,9,01:23.5,1,2,18
23,1065,817,1,3,5,3,3,3,14.534,1688612,17,01:24.3,1,1,18
24,1065,846,1,4,4,4,4,4,18.835,1692913,9,01:24.6,1,0,18
25,1065,1,131,44,2,5,5,5,20.011,1694089,9,01:24.3,1,0,18
26,1065,844,6,16,8,6,6,6,23.442,1697520,18,01:24.7,1,0,18
27,1065,832,6,55,7,7,7,7,27.952,1702030,8,01:24.9,1,0,18
28,1065,841,51,99,10,8,8,8,31.089,1705167,10,01:25.1,1,0,18
29,1065,815,9,11,9,9,9,9,31.68,1705758,12,01:24.2,1,0,18
30,1065,840,117,18,12,10,10,10,38.671,1712749,8,01:25.3,1,0,18
31,1065,4,214,14,13,11,11,11,39.795,1713873,8,01:25.2,1,0,18
32,1065,20,117,5,11,12,12,12,41.177,1715255,8,01:25.5,1,0,18
33,1065,839,214,31,14,13,13,13,43.373,1717451,8,01:25.6,1,0,18
34,1065,849,3,6,16,14,14,14,45.977,1720055,9,01:25.7,1,0,18
35,1065,847,3,63,15,15,15,15,46.821,1720899,15,01:25.8,1,0,18
36,1065,852,213,22,17,16,16,16,49.977,1724055,18,01:25.8,1,0,18
37,1065,853,210,9,20,17,17,17,+1:02.599,1736677,7,01:26.6,1,0,18
38,1065,9,51,88,19,18,18,18,+1:05.096,1739174,12,01:26.8,1,0,18
39,1065,854,210,47,18,19,19,19,+1:06.154,1740232,7,01:26.8,1,0,18
40,1065,842,213,10,6,,R,20,,,,,3,0,0
41,1071,822,131,77,2,1,1,1,29:09.6,1749559,8,01:12.3,1,3,24
42,1071,830,9,33,1,2,2,2,1.17,1750729,9,01:12.1,1,2,24
43,1071,832,6,55,5,3,3,3,18.723,1768282,13,01:13.2,1,1,24
44,1071,815,9,11,3,4,4,4,19.787,1769346,13,01:13.1,1,0,24
45,1071,1,131,44,20,5,5,5,20.872,1770431,5,01:12.4,1,0,24
46,1071,846,1,4,7,6,6,6,22.558,1772117,8,01:13.0,1,0,24
47,1071,844,6,16,6,7,7,7,25.056,1774615,4,01:13.1,1,0,24
48,1071,842,213,10,4,8,8,8,34.158,1783717,4,01:13.3,1,0,24
49,1071,839,214,31,10,9,9,9,34.632,1784191,11,01:13.6,1,0,24
50,1071,20,117,5,11,10,10,10,34.867,1784426,5,01:13.6,1,0,24
51,1071,817,1,3,8,11,11,11,35.869,1785428,9,01:13.5,1,0,24
52,1071,4,214,14,9,12,12,12,36.578,1786137,4,01:13.4,1,0,24
53,1071,841,51,99,14,13,13,13,41.88,1791439,11,01:13.6,1,0,24
54,1071,840,117,18,15,14,14,14,44.037,1793596,9,01:13.7,1,0,24
55,1071,852,213,22,12,15,15,15,46.15,1795709,11,01:13.7,1,0,24
56,1071,849,3,6,16,16,16,16,46.76,1796319,7,01:13.9,1,0,24
57,1071,847,3,63,17,17,17,17,47.739,1797298,14,01:14.1,1,0,24
58,1071,8,51,7,13,18,18,18,50.014,1799573,9,01:13.9,1,0,24
59,1071,854,210,47,18,19,19,19,+1:01.680,1811239,9,01:14.4,1,0,24
60,1071,853,210,9,19,20,20,20,+1:07.474,1817033,6,01:14.6,1,0,24
61,1077,830,9,1,1,1,1,1,30:39.6,1839567,14,01:19.2,1,8,21
62,1077,844,6,16,2,2,2,2,2.975,1842542,11,01:19.0,1,7,21
63,1077,815,9,11,7,3,3,3,4.721,1844288,14,01:19.0,1,6,21
64,1077,832,6,55,10,4,4,4,17.578,1857145,14,01:19.3,1,5,21
65,1077,846,1,4,3,5,5,5,24.561,1864128,9,01:20.0,1,4,21
66,1077,817,1,3,6,6,6,6,27.74,1867307,12,01:20.3,1,3,21
67,1077,822,51,77,8,7,7,7,28.133,1867700,9,01:20.2,1,2,21
68,1077,825,210,20,4,8,8,8,30.712,1870279,6,01:20.6,1,1,21
69,1077,4,214,14,5,9,9,9,32.278,1871845,10,01:20.6,1,0,21
70,1077,854,210,47,12,10,10,10,33.773,1873340,15,01:20.6,1,0,21
71,1077,847,131,63,11,11,11,11,36.284,1875851,19,01:20.8,1,0,21
72,1077,852,213,22,16,12,12,12,38.298,1877865,20,01:20.9,1,0,21
73,1077,20,117,5,9,13,13,13,40.177,1879744,8,01:21.0,1,0,21
74,1077,1,131,44,13,14,14,14,41.459,1881026,9,01:20.7,1,0,21
75,1077,840,117,18,15,15,15,15,42.91,1882477,14,01:20.9,1,0,21
76,1077,839,214,31,19,16,16,16,43.517,1883084,14,01:21.0,1,0,21
77,1077,842,213,10,17,17,17,17,43.794,1883361,18,01:20.6,1,0,21
78,1077,848,3,23,20,18,18,18,48.871,1888438,14,01:21.0,1,0,21
79,1077,849,3,6,18,19,19,19,52.017,1891584,16,01:21.4,1,0,21
80,1077,855,51,24,0,,R,20,,,,,31,0,0
81,1084,830,9,1,1,1,1,1,26:30.1,1590059,5,01:08.5,1,8,23
82,1084,844,6,16,2,2,2,2,1.675,1591734,4,01:08.3,1,7,23
83,1084,832,6,55,3,3,3,3,5.644,1595703,4,01:08.4,1,6,23
84,1084,847,131,63,4,4,4,4,13.429,1603488,4,01:09.0,1,5,23
85,1084,815,9,11,13,5,5,5,18.302,1608361,14,01:09.1,1,4,23
86,1084,839,214,31,5,6,6,6,31.032,1621091,4,01:09.4,1,3,23
87,1084,825,210,20,6,7,7,7,34.539,1624598,4,01:09.2,1,2,23
88,1084,1,131,44,9,8,8,8,35.447,1625506,7,01:09.5,1,1,23
89,1084,854,210,47,7,9,9,9,37.163,1627222,4,01:09.5,1,0,23
90,1084,822,51,77,12,10,10,10,37.557,1627616,4,01:09.7,1,0,23
91,1084,846,1,4,15,11,11,11,38.58,1628639,8,01:09.9,1,0,23
92,1084,817,1,3,16,12,12,12,39.738,1629797,8,01:10.0,1,0,23
93,1084,840,117,18,17,13,13,13,48.241,1638300,4,01:10.3,1,0,23
94,1084,855,51,24,18,14,14,14,50.753,1640812,11,01:10.2,1,0,23
95,1084,842,213,10,10,15,15,15,52.125,1642184,4,01:10.4,1,0,23
96,1084,848,3,23,11,16,16,16,52.412,1642471,5,01:10.4,1,0,23
97,1084,852,213,22,14,17,17,17,54.556,1644615,4,01:10.3,1,0,23
98,1084,849,3,6,19,18,18,18,+1:08.694,1658753,4,01:10.3,1,0,23
99,1084,20,117,5,20,19,19,19,,,4,01:10.3,130,0,21
100,1084,4,214,14,8,,19,20,,,,,10,0,0
101,1095,847,131,63,3,1,1,1,30:11.3,1811307,4,01:14.2,1,8,24
102,1095,832,6,55,5,2,2,2,3.995,1815302,2,01:14.5,1,7,24
103,1095,1,131,44,8,3,3,3,4.492,1815799,3,01:14.3,1,6,24
104,1095,830,9,1,2,4,4,4,10.494,1821801,5,01:14.5,1,5,24
105,1095,815,9,11,9,5,5,5,11.855,1823162,5,01:14.7,1,4,24
106,1095,844,6,16,10,6,6,6,13.133,1824440,4,01:15.2,1,3,24
107,1095,846,1,4,4,7,7,7,25.624,1836931,4,01:15.4,1,2,24
108,1095,825,210,20,1,8,8,8,28.768,1840075,2,01:15.1,1,1,24
109,1095,20,117,5,13,9,9,9,30.218,1841525,4,01:15.5,1,0,24
110,1095,842,213,10,12,10,10,10,34.17,1845477,3,01:15.3,1,0,24
111,1095,817,1,3,14,11,11,11,39.395,1850702,5,01:15.4,1,0,24
112,1095,854,210,47,20,12,12,12,41.159,1852466,5,01:15.8,1,0,24
113,1095,855,51,24,17,13,13,13,41.763,1853070,7,01:15.8,1,0,24
114,1095,822,51,77,18,14,14,14,42.338,1853645,8,01:16.0,1,0,24
115,1095,852,213,22,19,15,15,15,50.306,1861613,4,01:16.4,1,0,24
116,1095,840,117,18,15,16,16,16,50.7,1862007,4,01:15.4,1,0,24
117,1095,839,214,31,6,17,17,17,51.756,1863063,5,01:16.1,1,0,24
118,1095,4,214,14,7,18,18,18,53.985,1865292,5,01:14.8,1,0,24
119,1095,849,3,6,16,19,19,19,+1:16.850,1888157,4,01:16.5,1,0,24
120,1095,848,3,23,11,,19,20,,,4,01:16.0,31,0,12
